Country,Year,doctors_per_10k,hospital_beds_per_10k,infant_mortality_rate,maternal_mortality_rate,tb_incidence_per_100k,dtp3_vaccination_rate,nurses_per_10k,gdp_per_capita,pop_density,health_exp_usd,health_exp_gdp,population_total,urban_population,poverty_headcount,gini_index
MEX,2014,22.37,87.0,14.294719354666666,38.6530592415,10.141148339,16.75120190233333,87.0,11391.3773497683,61.6190030607783,609.82232666,5.35336781,119784261.0,76.9741367091766,7.2,48.9
MEX,2015,23.4,87.0,13.857261232333334,33.366399407,9.97213979,16.222123052333334,87.0,10021.2386118827,62.2815946912215,553.91259766,5.52738619,121072306.0,77.1903854182753,,
MEX,2016,23.45,93.0,13.429661757,31.709287882,9.962589696,15.699689066666666,93.0,9097.92397674769,62.8881149206513,489.92230225,5.38499022,122251351.0,77.4405087351486,4.4,46.9
MEX,2017,24.09,85.0,13.012884349666669,31.4709060195,9.864501356,15.191853576,85.0,9649.27816772402,63.4790282671879,512.54974365,5.3117938,123400057.0,77.7206924598541,,
MEX,2018,24.56,88.0,12.606364928,29.2218601105,9.792033576,14.695881289999997,88.0,10084.7937562021,64.0827752771419,528.26306152,5.23821402,124573711.0,78.0271223924494,3.9,46.0
MEX,2019,24.6,82.0,12.206293345666666,25.137864531,9.600281495,14.208429567333333,82.0,10369.5553585271,64.6945559299365,549.72601318,5.29685831,125762982.0,78.355984332992,,
MEX,2020,24.25,72.0,11.821994014333333,21.778861671,9.972392933,13.742960197666667,72.0,8841.27075039868,65.227528485815,535.11669922,6.0537405,126799054.0,78.677960602824,4.3,44.6
MEX,2021,25.41,78.0,11.451713451333333,20.347430971999998,10.122590729,13.295089937,78.0,10314.0506722115,65.664316469045,606.13415527,5.89244318,127648148.0,78.9324007418057,,
MEX,2022,25.88,83.0,11.087632897333334,,10.143444468,12.856318110333333,83.0,11405.7940473759,66.1607124668844,650.97070313,5.72145176,128613117.0,79.199683215791,2.3,43.5
MEX,2023,,85.0,10.739435801666668,,,12.435594567666667,85.0,13860.9597809326,66.7402757272564,,,129739759.0,79.4734935748046,,
MEX,2024,,78.0,,,,,78.0,,,,,,,,
NGA,2010,,56.0,73.94058311033334,63.604635937,,135.111010786625,54.0,2202.25672957344,182.969230431393,73.008255,3.29653287,166642886.0,51.6778188255446,38.5,35.7
NGA,2011,,53.0,72.86724497933334,74.6461419915,,132.852634854375,48.0,2418.41316975875,188.170007795602,80.2377243,3.32077932,171379598.0,52.490352424079,,
NGA,2012,,36.0,71.98392093466667,75.129668239,,130.85849567399998,42.0,2633.19734671361,193.463360672837,87.89523315,3.35984254,176200625.0,53.302114902293,37.4,35.5
NGA,2013,3.63,39.0,71.26195890233333,82.311992155,,129.2609831285,41.0,2872.79083379398,198.787227291193,97.29588318,3.4206934,181049443.0,54.1130855192568,,
NGA,2014,,43.0,70.68261267233333,66.0268335155,,127.825813738,42.0,3088.72131316169,204.109616039176,102.39888763,3.34840417,185896915.0,54.9232435340404,,
NGA,2015,,42.0,70.07232203866667,62.568440203,,126.39428856237501,42.0,2585.73360671797,209.352391932101,92.91207123,3.58194995,190671878.0,55.7325682057138,35.8,35.9
NGA,2016,4.28,53.0,69.37438252266666,60.095802883000005,,124.796706368375,53.0,2070.4127339595,214.591719094832,75.52328491,3.64773679,195443700.0,56.541038793347,,
NGA,2017,,55.0,68.48975970366666,55.390145293500005,,122.72208538975,55.0,1876.34027111773,219.873929751749,70.31814575,3.74762511,200254579.0,57.3486345560101,,
